week,job_title_raw,job_title_clean,company,location,seek_domain,seek_work_nature,seek_seniority,seek_confidence,mapper_domain,mapper_work_nature,mapper_seniority,mapper_confidence_pct,matched_keywords,flags,needs_review,domain_match
2026_W14,Maintenance Coordinator/Planner,Maintenance Coordinator/Planner,Hexion Pty Ltd,"Tauranga Central, Bay of Plenty",Planning,Specialist / Support,2. Intermediate / Staff,Medium,Planning,Specialist / Support,2. Intermediate / Staff,72,planner,Description is short — output is based mainly on title text,,✓
2026_W14,Yardman / Yard Manager,Yardman,CANAM CONSTRUCTION LTD,"Henderson, Auckland",Pending Review,Management,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Exterior Washer,Exterior Washer,Winning Exterior Cleaning,"Orewa, Auckland",Pending Review,Operational,2. Intermediate / Staff,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Cleaning Staff - Special Works Section,Cleaning Staff,Deemac Services Ltd,"Christchurch Central, Canterbury",Other/Noise,Operational,2. Intermediate / Staff,High,Other/Noise,Review Required,Review Required,30,cleaning,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✓
2026_W14,Transport Company Manager,Transport Company Manager,RRC INVESTMENTS LTD,"Albany, Auckland",Pending Review,Management,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Branch Manager - Mount Logs,Branch Manager,C3 Limited,"Mount Maunganui, Bay of Plenty",Operations,Management,4. Expert / Specialist,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Senior Procurement Specialist,Senior Procurement Specialist,Genesis,"Auckland CBD, Auckland",Planning,Specialist / Support,3. Senior / Professional,Medium,Planning,Specialist / Support,3. Senior / Professional,72,procurement,Description is short — output is based mainly on title text,,✓
2026_W14,Senior Talent Advisor,Senior Talent Advisor,Bishop – Values Led HR & Search Partner,"Christchurch Central, Canterbury",Pending Review,Specialist / Support,3. Senior / Professional,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Accounts Officer,Accounts Officer,Premier Supply Chains,"Mount Wellington, Auckland",Finance,Specialist / Support,2. Intermediate / Staff,Medium,Finance,Specialist / Support,2. Intermediate / Staff,72,accounts,Description is short — output is based mainly on title text,,✓
2026_W14,"Coordinator, Learning - Christchurch Airport","Coordinator, Learning",Civil Aviation Authority,"Christchurch, Canterbury",Operations,Operational,2. Intermediate / Staff,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Accounts Payable Officer,Accounts Payable Officer,Robert Half Finance & Accounting,"Greenlane, Auckland",Finance,Specialist / Support,2. Intermediate / Staff,Medium,Finance,Specialist / Support,2. Intermediate / Staff,88,"accounts payable, accounts",Description is short — output is based mainly on title text,,✓
2026_W14,Application Support Specialist,Application Support Specialist,TR Group,"Penrose, Auckland",IT Support,Specialist / Support,4. Expert / Specialist,Medium,IT Support,Specialist / Support,3. Senior / Professional,80,application support,Description is short — output is based mainly on title text,,✓
2026_W14,Business Analyst,Business Analyst,Hays | Technology,Auckland,Planning,Specialist / Support,4. Expert / Specialist,Medium,Planning,Specialist / Support,4. Expert / Specialist,80,business analyst,Description is short — output is based mainly on title text,,✓
2026_W14,Supply Chain BA,Supply Chain BA,salt,Auckland,Planning,Operational,2. Intermediate / Staff,Medium,Planning,Operational,2. Intermediate / Staff,80,supply chain,Description is short — output is based mainly on title text,,✓
2026_W14,Accounts Assistant,Accounts Assistant,Sprout Group Ltd,"Albany, Auckland",Finance,Specialist / Support,1. Junior / Entry,Medium,Finance,Specialist / Support,1. Junior / Entry,72,accounts,Description is short — output is based mainly on title text,,✓
2026_W14,Intermediate Business Analyst,Intermediate Business Analyst,84 Recruitment Limited,Auckland,Planning,Specialist / Support,2. Intermediate / Staff,Medium,Planning,Specialist / Support,4. Expert / Specialist,80,business analyst,Description is short — output is based mainly on title text,,✓
2026_W14,Finance Business Analyst,Finance Business Analyst,QMS NEW ZEALAND OUTDOOR LIMITED,"Auckland CBD, Auckland",Planning,Specialist / Support,4. Expert / Specialist,Medium,Planning,Specialist / Support,4. Expert / Specialist,80,business analyst,Description is short — output is based mainly on title text,,✓
2026_W14,Business Analyst - SAP,Business Analyst,Find IT Recruitment,"Wellington Central, Wellington",IT Support,Specialist / Support,4. Expert / Specialist,Medium,Planning,Specialist / Support,4. Expert / Specialist,80,business analyst,Description is short — output is based mainly on title text,,✗ DIFF
2026_W14,Customer Operations Coordinator,Customer Operations Coordinator,Rubbertree,"Avondale, Auckland",Operations,Operational,2. Intermediate / Staff,Medium,Operations,Operational,2. Intermediate / Staff,80,operations coordinator,Description is short — output is based mainly on title text,,✓
2026_W14,Sales Support Superstar,Sales Support Superstar,Active Safety NZ Ltd,"Rosedale, Auckland",Operations,Specialist / Support,2. Intermediate / Staff,Medium,Sales,Specialist / Support,2. Intermediate / Staff,72,sales,Description is short — output is based mainly on title text,,✗ DIFF
2026_W14,Global Account Manager- Asia,Global Account Manager- Asia,Alliance Group Ltd,"Christchurch Central, Canterbury",Planning,Management,4. Expert / Specialist,Medium,Sales,Management,4. Expert / Specialist,80,account manager,Description is short — output is based mainly on title text,,✗ DIFF
2026_W14,Project Manager - SAP,Project Manager,Find IT Recruitment,"Wellington Central, Wellington",IT Support,Management,4. Expert / Specialist,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Customer Onboarding Representative,Customer Onboarding Representative,Komodo,"Christchurch Central, Canterbury",Sales,Specialist / Support,2. Intermediate / Staff,Medium,Sales,Specialist / Support,2. Intermediate / Staff,72,representative,Description is short — output is based mainly on title text,,✓
2026_W14,Sales Development Representative,Sales Development Representative,JOYN,"Wellington Central, Wellington",Sales,Specialist / Support,2. Intermediate / Staff,Medium,Sales,Specialist / Support,2. Intermediate / Staff,80,"sales, representative",Description is short — output is based mainly on title text,,✓
2026_W14,BAS Accountant (Technology & AI focus),BAS Accountant,Nexia Christchurch Limited,"Christchurch Central, Canterbury",Finance,Specialist / Support,2. Intermediate / Staff,Medium,Finance,Specialist / Support,2. Intermediate / Staff,72,accountant,Description is short — output is based mainly on title text,,✓
2026_W14,Accounts Receivable Officer/Admin Support,Accounts Receivable Officer/Admin Support,Preston & Blythe,"Wiri, Auckland",Finance,Specialist / Support,2. Intermediate / Staff,Medium,Finance,Specialist / Support,2. Intermediate / Staff,88,"accounts receivable, accounts",Description is short — output is based mainly on title text,,✓
2026_W14,Systems Support Advisor,Systems Support Advisor,Pacific Health Group,"East Tamaki, Auckland",IT Support,Specialist / Support,2. Intermediate / Staff,Medium,IT Support,Specialist / Support,2. Intermediate / Staff,72,systems,Description is short — output is based mainly on title text,,✓
2026_W14,Senior Management Accountant,Senior Management Accountant,Parker Bridge,"Auckland CBD, Auckland",Finance,Specialist / Support,2. Intermediate / Staff,High,Finance,Specialist / Support,3. Senior / Professional,72,accountant,Description is short — output is based mainly on title text,,✓
2026_W14,Service Desk Analyst (IT Support) - Fixed Term,Service Desk Analyst,Powerco,"New Plymouth Central, Taranaki",IT Support,Specialist / Support,4. Expert / Specialist,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Finance and Governance Coordinator,Finance and Governance Coordinator,Growing Future Farmers Trust,"Auckland CBD, Auckland",Finance,Specialist / Support,2. Intermediate / Staff,Medium,Finance,Specialist / Support,2. Intermediate / Staff,72,finance,Description is short — output is based mainly on title text,,✓
2026_W14,Accounts Officer,Accounts Officer,Innovative Energy Group Limited,"Mount Wellington, Auckland",Finance,Specialist / Support,2. Intermediate / Staff,High,Finance,Specialist / Support,2. Intermediate / Staff,72,accounts,Description is short — output is based mainly on title text,,✓
2026_W14,Stores Person - Freighter,Stores Person,Action Manufacturing LP,"Takanini, Auckland",Freight Forwarding,Operational,2. Intermediate / Staff,Medium,Warehouse,Operational,2. Intermediate / Staff,80,stores person,Description is short — output is based mainly on title text,,✗ DIFF
2026_W14,International Supply Chain Specialist,International Supply Chain Specialist,The Recruitment Alternative,"Tauranga Central, Bay of Plenty",Planning,Specialist / Support,4. Expert / Specialist,Medium,Planning,Specialist / Support,3. Senior / Professional,80,supply chain,Description is short — output is based mainly on title text,,✓
2026_W14,Supply Planner - Third Party,Supply Planner,Manuka Health,"Te Awamutu, Waikato",Planning,Specialist / Support,2. Intermediate / Staff,Medium,Planning,Specialist / Support,2. Intermediate / Staff,72,planner,Description is short — output is based mainly on title text,,✓
2026_W14,Operations Administrator,Operations Administrator,Lotek NZ Limited,"Havelock North, Hawkes Bay",Operations,Specialist / Support,2. Intermediate / Staff,Medium,Operations,Specialist / Support,2. Intermediate / Staff,80,operations administrator,Description is short — output is based mainly on title text,,✓
2026_W14,Business Analyst - Process Mapping,Business Analyst,Evolve Recruitment Group,Auckland,Planning,Specialist / Support,4. Expert / Specialist,Medium,Planning,Specialist / Support,4. Expert / Specialist,80,business analyst,Description is short — output is based mainly on title text,,✓
2026_W14,Payroll Consultant,Payroll Consultant,+MORE Group,"Petone, Wellington",Finance,Specialist / Support,4. Expert / Specialist,Medium,Finance,Specialist / Support,4. Expert / Specialist,72,payroll,Description is short — output is based mainly on title text,,✓
2026_W14,Warehouse Team Leader - Night Shift,Warehouse Team Leader,Vitaco Health Group,"Manukau & East Auckland, Auckland",Warehouse,Operational,2. Intermediate / Staff,Medium,Warehouse,Operational,3. Senior / Professional,72,warehouse,Description is short — output is based mainly on title text,,✓
2026_W14,Inventory Controller / Counter Sales - Nugent St,Inventory Controller,Ideal Electrical Suppliers,"Auckland CBD, Auckland",Planning,Specialist / Support,2. Intermediate / Staff,Medium,Warehouse,Operational,2. Intermediate / Staff,62,inventory,Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Dispatch Coordinator,Dispatch Coordinator,Exelnetwork NZ Ltd,"Mount Wellington, Auckland",Transport,Operational,2. Intermediate / Staff,High,Transport,Operational,2. Intermediate / Staff,88,"dispatch coordinator, dispatch",Description is short — output is based mainly on title text,,✓
2026_W14,Warehouse Manager,Warehouse Manager,Van Dyck Fine Foods Ltd.,"New Plymouth Central, Taranaki",Warehouse,Management,4. Expert / Specialist,Medium,Warehouse,Management,4. Expert / Specialist,88,"warehouse manager, warehouse",Description is short — output is based mainly on title text,,✓
2026_W14,Inwards Goods Assistant,Inwards Goods Assistant,Gilmours Wholesale Food & Beverage,"Manukau, Auckland",Operations,Specialist / Support,1. Junior / Entry,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Parts and Service Coordinator,Parts and Service Coordinator,Drummond and Etheridge,"Invercargill Central, Southland",Operations,Operational,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Warehouse Assistant,Warehouse Assistant,Catch Consulting,"Sydenham, Canterbury",Warehouse,Specialist / Support,1. Junior / Entry,Medium,Warehouse,Operational,1. Junior / Entry,88,"warehouse assistant, warehouse",Description is short — output is based mainly on title text,,✓
2026_W14,Senior Storeperson - Warehouse Operations,Senior Storeperson,EQUIP Recruitment,"Wigram, Canterbury",Warehouse,Operational,2. Intermediate / Staff,Medium,Warehouse,Operational,3. Senior / Professional,72,storeperson,Description is short — output is based mainly on title text,,✓
2026_W14,Store Person,Store Person,Geofabrics New Zealand,"Christchurch Central, Canterbury",Warehouse,Operational,2. Intermediate / Staff,Medium,Warehouse,Operational,2. Intermediate / Staff,80,store person,Description is short — output is based mainly on title text,,✓
2026_W14,Operations Manager,Operations Manager,salt,Auckland,Operations,Management,4. Expert / Specialist,High,Operations,Management,4. Expert / Specialist,80,operations manager,Description is short — output is based mainly on title text,,✓
2026_W14,Head of Operations,Head of Operations,Weatherell Transport Limited,"Favona, Auckland",Operations,Management,5. Executive / Strategic,Medium,Operations,Management,5. Executive / Strategic,88,head of operations,Description is short — output is based mainly on title text,,✓
2026_W14,NZSOC Operations Officer,NZSOC Operations Officer,Government Communications Security Bureau,"Wellington Central, Wellington",Operations,Specialist / Support,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Operations Coordinator,Operations Coordinator,Taumata Arowai,"Wellington Central, Wellington",Operations,Operational,2. Intermediate / Staff,High,Operations,Operational,2. Intermediate / Staff,80,operations coordinator,Description is short — output is based mainly on title text,,✓
2026_W14,Operations Manager,Operations Manager,Laura Fergusson Brain Injury Trust,"Christchurch Central, Canterbury",Operations,Management,4. Expert / Specialist,Medium,Operations,Management,4. Expert / Specialist,80,operations manager,Description is short — output is based mainly on title text,,✓
2026_W14,Settlement Operations Analyst,Settlement Operations Analyst,NZX Limited,"Wellington Central, Wellington",Operations,Specialist / Support,4. Expert / Specialist,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Account Manager (Sales & Operations),Account Manager,Asset Recruitment Ltd,"Te Aroha, Waikato",Operations,Management,4. Expert / Specialist,Medium,Sales,Management,4. Expert / Specialist,80,account manager,Description is short — output is based mainly on title text,,✗ DIFF
2026_W14,Operations Coordinator - Queenstown,Operations Coordinator,Veolia,"Queenstown, Otago",Operations,Operational,2. Intermediate / Staff,Medium,Operations,Operational,2. Intermediate / Staff,80,operations coordinator,Description is short — output is based mainly on title text,,✓
2026_W14,Operations and Finance Administrator Family Office/Philanthropic Foundation,Operations and Finance Administrator Family Office/Philanthropic Foundation,Find Recruitment Limited,"Wellington Central, Wellington",Finance,Specialist / Support,2. Intermediate / Staff,Medium,Finance,Specialist / Support,2. Intermediate / Staff,72,finance,"Description is short — output is based mainly on title text | Title is long — may contain location, shift, or contract noise",,✓
2026_W14,Export Operations,Export Operations,Fred Recruitment,"East Tamaki, Auckland",Freight Forwarding,Operational,2. Intermediate / Staff,High,Freight Forwarding,Operational,2. Intermediate / Staff,72,export,Description is short — output is based mainly on title text,,✓
2026_W14,Client Experience & Operations Lead,Client Experience & Operations Lead,Ivy Clinic,"Frankton, Otago",Operations,Operational,2. Intermediate / Staff,Medium,Operations,Operational,2. Intermediate / Staff,80,operations lead,Description is short — output is based mainly on title text,,✓
2026_W14,Regional Manager,Regional Manager,KINGS RECRUITMENT LTD,Waikato,Operations,Management,4. Expert / Specialist,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Risk and Compliance Operations,Risk and Compliance Operations,Fred Recruitment,"Greenlane, Auckland",Operations,Operational,2. Intermediate / Staff,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,"Director, Logistics Delivery Group","Director, Logistics Delivery Group",New Zealand Defence Force | Te Ope Kātua o Aotearoa,"Trentham, Wellington",Transport,Management,5. Executive / Strategic,High,Transport,Management,5. Executive / Strategic,62,delivery,Description is short — output is based mainly on title text,Yes,✓
2026_W14,Driver / Warehouse Assistant,Driver,Fresh Connection,"Pukekohe, Auckland",Warehouse,Specialist / Support,1. Junior / Entry,Medium,Transport,Operational,2. Intermediate / Staff,72,driver,Description is short — output is based mainly on title text,,✗ DIFF
2026_W14,Supervisor,Supervisor,ContainerCo,"Napier Central, Hawkes Bay",Pending Review,Operational,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Quality Assurance Officer,Quality Assurance Officer,Private Advertiser,"Woolston, Canterbury",Operations,Specialist / Support,2. Intermediate / Staff,High,Operations,Specialist / Support,2. Intermediate / Staff,72,quality,Description is short — output is based mainly on title text,,✓
2026_W14,Drivers Assistant- Christchurch,Drivers Assistant- Christchurch,Sorted Logistics,"Christchurch, Canterbury",Transport,Specialist / Support,1. Junior / Entry,Medium,Transport,Operational,2. Intermediate / Staff,72,driver,Description is short — output is based mainly on title text,,✓
2026_W14,Production Supervisor - Afternoon Shift,Production Supervisor,Original Foods Baking Co.,"Wigram, Canterbury",Operations,Operational,2. Intermediate / Staff,Medium,Operations,Operational,2. Intermediate / Staff,72,production,Description is short — output is based mainly on title text,,✓
2026_W14,Garmet Resourcing and Production Planning,Garmet Resourcing and Production Planning,Bright Teams,"Albany, Auckland",Planning,Operational,2. Intermediate / Staff,Medium,Planning,Operational,2. Intermediate / Staff,80,"planning, sourcing",Description is short — output is based mainly on title text,,✓
2026_W14,Project Coordinator,Project Coordinator,Omexom New Zealand,"Hamilton Central, Waikato",Operations,Operational,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Associate Brand Manager,Associate Brand Manager,Constellation Brands New Zealand,"Westgate, Auckland",Pending Review,Management,4. Expert / Specialist,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Woolroom Manager / Production Support,Woolroom Manager,Bonz Group,"Invercargill Central, Southland",Operations,Management,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Warehouse Assistant - Outbound Picker,Warehouse Assistant,NXP Limited,"Lower Hutt, Wellington",Warehouse,Specialist / Support,1. Junior / Entry,Medium,Warehouse,Operational,1. Junior / Entry,88,"warehouse assistant, warehouse",Description is short — output is based mainly on title text,,✓
2026_W14,Warehouse/Production Assistant,Warehouse/Production Assistant,Star People,"South Dunedin, Otago",Warehouse,Specialist / Support,1. Junior / Entry,High,Warehouse,Operational,1. Junior / Entry,62,warehouse,Description is short — output is based mainly on title text,Yes,✓
2026_W14,EXCITING CAREER OPPORTUNITIES FOR VOICE PICKERS,EXCITING CAREER OPPORTUNITIES FOR VOICE PICKERS,Draft NZ Limited,"Hornby, Canterbury",Warehouse,Operational,2. Intermediate / Staff,Medium,Warehouse,Operational,1. Junior / Entry,72,picker,Description is short — output is based mainly on title text,,✓
2026_W14,Warehouse Storeperson - Full Time - Albany,Warehouse Storeperson,BMV International Limited,"Rodney & North Shore, Auckland",Warehouse,Operational,2. Intermediate / Staff,Medium,Warehouse,Operational,2. Intermediate / Staff,80,"warehouse, storeperson",Description is short — output is based mainly on title text,,✓
2026_W14,Warehouse Storeperson- Temporary role,Warehouse Storeperson- Temporary role,Flexa Recruitment Limited,"Manukau, Auckland",Warehouse,Operational,2. Intermediate / Staff,High,Warehouse,Operational,2. Intermediate / Staff,80,"warehouse, storeperson",Description is short — output is based mainly on title text,,✓
2026_W14,Driver/Warehouse Person – Wanaka Branch,Driver/Warehouse Person,J. A. Russell Ltd,"Wanaka, Otago",Warehouse,Operational,2. Intermediate / Staff,Medium,Warehouse,Operational,2. Intermediate / Staff,62,warehouse,Description is short — output is based mainly on title text,Yes,✓
2026_W14,Store Person,Store Person,Brown Brothers Engineers Flow Technology,"Hamilton Central, Waikato",Warehouse,Operational,2. Intermediate / Staff,Medium,Warehouse,Operational,2. Intermediate / Staff,80,store person,Description is short — output is based mainly on title text,,✓
2026_W14,General Hand,General Hand,Doherty Couplers & Attachments (NZ) Ltd,"Tauriko, Bay of Plenty",Pending Review,Operational,2. Intermediate / Staff,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Coolstore Forklift Drivers** Day and Night Shifts Available,Coolstore Forklift Drivers** Day and Night Shifts Available,Mount Pack & Cool Limited,"Tauranga Central, Bay of Plenty",Warehouse,Operational,2. Intermediate / Staff,High,Warehouse,Operational,2. Intermediate / Staff,80,"forklift, coolstore",Description is short — output is based mainly on title text,,✓
2026_W14,Business Development Manager,Business Development Manager,Team Recruitment,Auckland,Sales,Management,2. Intermediate / Staff,Medium,Sales,Management,4. Expert / Specialist,80,business development,Description is short — output is based mainly on title text,,✓
2026_W14,"Container Labourers, Forklift, Slip Sheet & Clamp Drivers","Container Labourers, Forklift, Slip Sheet & Clamp Drivers",Kingz Container Crew,"Mangere, Auckland",Warehouse,Operational,2. Intermediate / Staff,Medium,Warehouse,Operational,2. Intermediate / Staff,80,"forklift, labourer",Description is short — output is based mainly on title text,,✓
2026_W14,Class 4 Metro Driver,Class 4 Metro Driver,StraitNZ,"Te Rapa, Waikato",Transport,Operational,2. Intermediate / Staff,Medium,Transport,Operational,2. Intermediate / Staff,72,driver,Description is short — output is based mainly on title text,,✓
2026_W14,Business Systems Analyst,Business Systems Analyst,Unison Networks Limited,"Hastings Central, Hawkes Bay",IT Support,Specialist / Support,4. Expert / Specialist,Medium,IT Support,Specialist / Support,4. Expert / Specialist,72,systems,Description is short — output is based mainly on title text,,✓
2026_W14,Intermediate Project Manager,Intermediate Project Manager,Freightways Group Limited,"Penrose, Auckland",Pending Review,Management,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Business Analyst,Business Analyst,Vulcan,"East Tamaki, Auckland",Planning,Specialist / Support,4. Expert / Specialist,Medium,Planning,Specialist / Support,4. Expert / Specialist,80,business analyst,Description is short — output is based mainly on title text,,✓
2026_W14,Business Analyst - IRIS NEXT GEN,Business Analyst,Waikato Regional Council,"Hamilton Central, Waikato",Planning,Specialist / Support,4. Expert / Specialist,High,Planning,Specialist / Support,4. Expert / Specialist,80,business analyst,Description is short — output is based mainly on title text,,✓
2026_W14,Junior Procurement Analyst / Purchasing Planner,Junior Procurement Analyst,Ancra New Zealand Limited,"Mangere, Auckland",Planning,Specialist / Support,1. Junior / Entry,Medium,Planning,Specialist / Support,4. Expert / Specialist,72,procurement,Description is short — output is based mainly on title text,,✓
2026_W14,Product Administrator (Supply Chain Officer),Product Administrator,Synnex New Zealand Ltd,"Wiri, Auckland",Planning,Specialist / Support,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,IT Manager,IT Manager,Calibre Recruitment,"Mangere, Auckland",Pending Review,Management,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Business Analyst,Business Analyst,Aroa Biosurgery,"Mangere, Auckland",Planning,Specialist / Support,4. Expert / Specialist,Medium,Planning,Specialist / Support,4. Expert / Specialist,80,business analyst,Description is short — output is based mainly on title text,,✓
2026_W14,Management Accountant - Operations and Capex,Management Accountant,Tasti Products Ltd,"Te Atatu Peninsula, Auckland",Finance,Specialist / Support,2. Intermediate / Staff,Medium,Finance,Specialist / Support,2. Intermediate / Staff,72,accountant,Description is short — output is based mainly on title text,,✓
2026_W14,Business Analyst,Business Analyst,Education Payroll Limited,"Wellington Central, Wellington",Planning,Specialist / Support,4. Expert / Specialist,High,Planning,Specialist / Support,4. Expert / Specialist,80,business analyst,Description is short — output is based mainly on title text,,✓
2026_W14,IT/Data Analyst,IT/Data Analyst,Tūpore Infrastructure Limited,"Hastings Central, Hawkes Bay",Pending Review,Specialist / Support,4. Expert / Specialist,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Travel Systems Specialist,Travel Systems Specialist,UBT Marketing,"Auckland Airport, Auckland",IT Support,Specialist / Support,4. Expert / Specialist,Medium,IT Support,Specialist / Support,3. Senior / Professional,72,systems,Description is short — output is based mainly on title text,,✓
2026_W14,Systems Analyst,Systems Analyst,Younity,"Auckland CBD, Auckland",IT Support,Specialist / Support,4. Expert / Specialist,Medium,IT Support,Specialist / Support,4. Expert / Specialist,72,systems,Description is short — output is based mainly on title text,,✓
2026_W14,Business Analyst,Business Analyst,Beyond Recruitment - NZ’s best career opportunities – jobs all over Aotearoa,"Rodney & North Shore, Auckland",Planning,Specialist / Support,4. Expert / Specialist,Medium,Planning,Specialist / Support,4. Expert / Specialist,80,business analyst,Description is short — output is based mainly on title text,,✓
2026_W14,Mitre 10 Mega Tauranga - Inventory Co‑Ordinator,Mitre 10 Mega Tauranga,Mitre 10,"Tauranga, Bay of Plenty",Warehouse,Operational,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Inventory & Supply Analyst,Inventory & Supply Analyst,Bakels Edible Oils (N.Z.) Ltd,"Mount Maunganui, Bay of Plenty",Warehouse,Specialist / Support,4. Expert / Specialist,Medium,Warehouse,Specialist / Support,4. Expert / Specialist,72,inventory,Description is short — output is based mainly on title text,,✓
2026_W14,Intermediate Planning & Materials Manager (ERP/PowerBI/AI),Intermediate Planning & Materials Manager,Sunstone Talent,"Christchurch, Canterbury",IT Support,Management,2. Intermediate / Staff,Medium,Planning,Management,4. Expert / Specialist,72,planning,Description is short — output is based mainly on title text,,✗ DIFF
2026_W14,Senior Planning & Materials Manager (ERP/PowerBI/AI),Senior Planning & Materials Manager,Sunstone Talent,"Christchurch, Canterbury",IT Support,Management,3. Senior / Professional,Medium,Planning,Management,4. Expert / Specialist,72,planning,Description is short — output is based mainly on title text,,✗ DIFF
2026_W14,Analyst,Analyst,Van Dyck Fine Foods Ltd.,"Bell Block, Taranaki",Pending Review,Specialist / Support,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W14,Accounts Payable Officer,Accounts Payable Officer,Ritchies Transport Holdings Limited,"Swanson, Auckland",Finance,Specialist / Support,2. Intermediate / Staff,Medium,Finance,Specialist / Support,2. Intermediate / Staff,88,"accounts payable, accounts",Description is short — output is based mainly on title text,,✓
2026_W14,Purchasing Officer,Purchasing Officer,Temperzone,"Manukau, Auckland",Planning,Specialist / Support,2. Intermediate / Staff,Medium,Planning,Specialist / Support,2. Intermediate / Staff,72,purchasing,Description is short — output is based mainly on title text,,✓
2026_W14,Customer Service & Sales Support,Customer Service & Sales Support,Bidfood,"Hamilton Central, Waikato",Operations,Specialist / Support,2. Intermediate / Staff,Medium,Sales,Specialist / Support,2. Intermediate / Staff,88,"customer service, sales",Description is short — output is based mainly on title text,,✗ DIFF
2026_W14,Application Support Engineer,Application Support Engineer,Momentum Consulting Group,"Wellington Central, Wellington",IT Support,Specialist / Support,2. Intermediate / Staff,Medium,IT Support,Specialist / Support,2. Intermediate / Staff,80,application support,Description is short — output is based mainly on title text,,✓
2026_W14,Service Delivery Analyst,Service Delivery Analyst,Greater Wellington,"Wellington Central, Wellington",Transport,Specialist / Support,4. Expert / Specialist,High,Transport,Specialist / Support,4. Expert / Specialist,72,delivery,Description is short — output is based mainly on title text,,✓
